Amino Acid,Asp-N SUMOylated,Asp-N SUMOylated norm.,Asp-N not SUMOylated,Asp-N not SUMOylated norm.,Glu-C SUMOylated,Glu-C SUMOylated norm.,Glu-C not SUMOylated,Glu-C not SUMOylated norm.,Trypsin SUMOylated,Trypsin SUMOylated norm.,Trypsin not SUMOylated,Trypsin not SUMOylated norm.,proteome,Asp-N SUMOylated vs Non SUMOylated chi2_statistic,Asp-N SUMOylated vs Non SUMOylated adj_pval,Glu-C SUMOylated vs Non SUMOylated chi2_statistic,Glu-C SUMOylated vs Non SUMOylated adj_pval,Trypsin SUMOylated vs Non SUMOylated chi2_statistic,Trypsin SUMOylated vs Non SUMOylated adj_pval
L,404,0.73,2343,0.96,132.0,0.77,1846,0.92,1557,0.75,5345,0.91,66969,27.58833507303206,3.782044748168759e-05,4.19851967490487,1.0,54.16002932494895,4.657166221445682e-11
K,128,0.29,1887,0.95,65.0,0.47,1683,1.03,660,0.39,4603,0.97,54307,208.98155560510173,5.77383753386903e-45,44.83055452008751,5.414066029668787e-09,549.9801998916563,3.2040404732684886e-119
E,1675,4.24,1828,1.04,656.0,5.32,1680,1.17,4123,2.75,4280,1.02,48083,2286.685289593849,0.0,1472.153618257744,0.0,2522.820917314328,0.0
S,344,0.89,1648,0.97,82.0,0.68,1270,0.9,1404,0.96,3808,0.93,46868,1.811527923127615,1.0,6.29289055711801,1.0,1.1845469287964236,1.0
A,260,0.82,1554,1.11,90.0,0.92,1356,1.18,961,0.8,3684,1.1,38372,21.237998761704965,0.0010222184684360734,5.624274749106741,1.0,79.62385421615427,1.1413685976847849e-16
G,304,1.06,1486,1.17,81.0,0.9,1089,1.04,990,0.91,3230,1.06,35040,2.5279291139813327,1.0,1.4280688514596998,1.0,18.263286508453017,0.004847960144099622
V,277,0.91,1506,1.12,84.0,0.88,1076,0.97,1012,0.88,3231,1.0,37075,10.328811845744188,0.330043114207856,0.6011242355002466,1.0,13.618453891725165,0.056441210561822545
R,80,0.27,1212,0.91,25.0,0.27,1017,0.92,534,0.47,2756,0.86,36715,133.71394879768098,1.5901857126879544e-28,44.561405054437884,6.211884388301102e-09,178.78955283004058,2.244478281301518e-38
P,282,1.03,1386,1.14,61.0,0.71,1016,1.01,915,0.88,2983,1.02,33413,2.6000641112071374,1.0,7.362420906270508,1.0,16.619258474492113,0.011512562427926564
T,269,1.03,1242,1.08,57.0,0.7,1021,1.07,843,0.85,2695,0.97,31750,0.3650215194473732,1.0,10.146826463035781,0.36426568045818913,11.449300176093265,0.18023274377595494
I,234,0.86,1234,1.02,64.0,0.75,1074,1.08,818,0.79,2767,0.96,33111,6.166489704673228,1.0,8.11133630496036,1.0,23.172752781855166,0.00037316330516872864
Q,235,0.92,1091,0.97,30.0,0.38,915,0.99,958,0.99,2713,1.0,30939,0.4055941818479494,1.0,29.498000980313186,1.410555014770074e-05,0.0625264937688807,1.0
D,249,1.08,1065,1.04,113.0,1.57,988,1.17,1219,1.39,2699,1.1,28133,0.219058628787089,1.0,8.736232456636552,0.7861099549744915,49.33045988863339,5.450207087831823e-10
F,139,0.56,941,0.86,51.0,0.66,722,0.8,952,1.01,3006,1.14,30204,22.623501976644935,0.0004965893774731021,1.640615541353099,1.0,10.630270992367556,0.2803535555062616
N,183,0.91,861,0.97,38.0,0.61,688,0.94,804,1.06,2249,1.05,24441,0.5156068659867807,1.0,6.880473603641882,1.0,0.001577779518966599,1.0
C,72,0.62,383,0.74,3.0,0.08,302,0.71,218,0.49,1378,1.11,14196,1.90461057765137,1.0,19.324704401170127,0.002778813525877492,133.4506285160454,1.8157204459507287e-28
Y,81,0.46,581,0.74,20.0,0.36,561,0.87,1371,2.05,1899,1.01,21534,16.834379055583575,0.010278491979647827,15.586942946820999,0.019856805213177956,430.12124055397817,3.853901374830113e-93
H,36,0.25,603,0.95,9.0,0.2,581,1.12,495,0.92,1646,1.08,17376,70.23192448290945,1.3287002678138707e-14,32.86899128355876,2.4842984124210675e-06,11.232310362390765,0.2025714977247261
M,80,0.7,580,1.14,10.0,0.28,438,1.05,346,0.8,1193,0.98,13969,17.415451360761754,0.007569431704676997,19.327421632212815,0.0027748620052529646,11.534201722050417,0.17218507460310703
W,31,0.48,236,0.82,4.0,0.2,187,0.79,133,0.54,597,0.87,7866,7.869319599211973,1.0,8.103462074194761,1.0,24.338644438757328,0.0002036201875436271
X,7,0.27,112,0.98,,,69,0.73,30,0.31,282,1.03,3141,11.679198264239119,0.1592709609385232,,1.0,44.076261293574184,7.958866373779884e-09
