Amino Acid,Asp-N SUMOylated,Asp-N SUMOylated norm.,Asp-N not SUMOylated,Asp-N not SUMOylated norm.,Glu-C SUMOylated,Glu-C SUMOylated norm.,Glu-C not SUMOylated,Glu-C not SUMOylated norm.,Trypsin SUMOylated,Trypsin SUMOylated norm.,Trypsin not SUMOylated,Trypsin not SUMOylated norm.,proteome,Asp-N SUMOylated vs Non SUMOylated chi2_statistic,Asp-N SUMOylated vs Non SUMOylated adj_pval,Glu-C SUMOylated vs Non SUMOylated chi2_statistic,Glu-C SUMOylated vs Non SUMOylated adj_pval,Trypsin SUMOylated vs Non SUMOylated chi2_statistic,Trypsin SUMOylated vs Non SUMOylated adj_pval
L,393,0.72,2659,1.09,108,0.63,2403,1.2,1535,0.74,5927,1.02,66807,69.35111956347436,2.0766269694244072e-14,49.704473969951415,4.5041943255822063e-10,138.94365682056645,1.1418739508862288e-29
K,339,0.76,1100,0.56,120,0.86,710,0.44,1398,0.83,3312,0.7,54307,26.205091979982797,7.736700256217906e-05,50.52568861539085,2.9639021160650443e-10,29.631162826365262,1.3169017180776928e-05
E,711,1.75,1650,0.91,191,1.5,1485,1.0,2346,1.52,4619,1.07,49574,232.83308184172552,3.6216901317673783e-50,30.447198131723756,8.645577887379738e-06,215.60774523038612,2.0696169696523315e-46
S,412,1.07,1739,1.02,112,0.93,1411,1.0,1561,1.07,3988,0.97,46893,0.7747100457484302,1.0,0.55176588795397,1.0,10.385514695097344,0.3200596006789315
A,272,0.82,1834,1.25,47,0.45,1581,1.31,934,0.74,4065,1.15,40356,45.41518587534627,4.0167216766021635e-09,59.821762686561435,2.6169863093320518e-12,159.035321726315,4.6325842587997974e-34
G,321,0.99,1562,1.08,93,0.92,1229,1.04,2059,1.67,3593,1.04,39605,2.436728609691761,1.0,1.26850188804578,1.0,323.11591593662644,7.648881541705542e-70
V,369,1.21,1766,1.3,132,1.38,1329,1.19,1160,1.0,3532,1.09,37198,1.908453388791766,1.0,2.709866195880264,1.0,6.223103397231892,1.0
R,148,0.49,1159,0.87,50,0.53,751,0.68,865,0.76,1650,0.51,36737,45.391292069178476,4.066023973451203e-09,2.8486726746930056,1.0,87.72183050350593,1.8985245879848268e-18
P,398,1.44,1391,1.14,92,1.07,1127,1.12,1027,0.98,3840,1.31,33581,18.279777155532724,0.004806172347205368,0.15258941853144997,1.0,71.80198476080795,5.995403229397406e-15
T,296,1.09,1344,1.11,106,1.25,1173,1.18,935,0.91,3028,1.05,33140,0.13629128663480547,1.0,0.25353317028224176,1.0,15.499685712392484,0.02079478119368374
I,274,1.06,1384,1.2,79,0.98,1117,1.18,890,0.9,2919,1.06,31599,4.075220317525663,1.0,2.656978546818918,1.0,17.48986932834087,0.007278836312937213
Q,241,0.98,1271,1.16,101,1.31,1004,1.12,844,0.9,2831,1.08,30030,6.371264329751892,1.0,2.3668592230876246,1.0,21.785552590235287,0.0007683160749388561
D,481,1.96,493,0.45,192,2.51,988,1.11,1742,1.88,2590,0.99,29828,640.6161423203043,6.1849834578038885e-139,119.92890280584744,1.6523407209728823e-25,458.4463123587412,2.638774632249213e-99
F,129,0.64,992,1.12,53,0.85,785,1.08,577,0.76,2099,0.99,24359,36.61684240759795,3.623357451103653e-07,2.6916209551725117,1.0,31.688612193446417,4.560703661724982e-06
N,225,1.14,907,1.04,81,1.32,728,1.01,810,1.08,2154,1.03,23992,1.5570408924269956,1.0,4.962349632487792,1.0,1.6668630087991563,1.0
C,60,0.4,380,0.57,5,0.11,176,0.32,380,0.67,1992,1.25,18268,6.49011788936134,1.0,5.895946706840228,1.0,132.57395147987555,2.8237577875224396e-28
Y,99,0.72,667,1.09,50,1.16,596,1.18,411,0.78,1427,0.97,16841,15.451049654838831,0.02133681616194102,0.0037042367813014923,1.0,14.769948254071679,0.030606849536130562
H,64,0.48,667,1.12,24,0.57,520,1.06,405,0.8,1564,1.1,16336,45.97102691912471,3.0243741223719025e-09,8.770962938749898,0.7712808323752774,33.79520790710076,1.5429834529933202e-06
M,95,0.79,570,1.07,24,0.64,339,0.77,316,0.69,1350,1.05,14687,7.470269751325065,1.0,0.6513552088252895,1.0,46.694357555340616,2.0907823040824316e-09
W,35,0.5,236,0.77,9,0.41,118,0.47,112,0.43,537,0.73,8467,5.157165926999092,1.0,0.02823617593621132,1.0,27.07387930631708,4.934819628717448e-05
X,8,1.09,8,0.25,6,2.61,9,0.34,36,1.29,27,0.34,898,8.623351282238513,0.8363393368266824,17.13288214378356,0.008783116310104574,29.406042108444254,1.4790979113225498e-05
