Amino Acid,Count in Gold,Gold norm.,Count in Gold-Silver,Gold-Silver norm.,Count in Gold-Silver-Bronze,Gold-Silver-Bronze norm.,Count in non-SUMOylated,non-SUMOylated norm.,Count in human proteome,Gold vs non-SUMOylated chi2_statistic,Gold vs non-SUMOylated adj_pval
L,604,0.68,1754,0.75,2854,0.78,6357,0.95,66969,68.88144414371462,8.783379969866216e-15
K,223,0.31,736,0.39,1505,0.51,5516,1.02,54307,369.0617371658459,2.5163032824414404e-80
E,2485,3.91,4684,2.8,6455,2.45,4153,0.87,48083,4653.320252222647,0.0
S,558,0.9,1571,0.97,2507,0.98,4247,0.91,46868,0.056471992157192494,1
A,418,0.82,1079,0.81,1861,0.89,4207,1.1,38372,34.26603106941392,4.0378743409180635e-07
G,450,0.97,1144,0.94,1852,0.96,3670,1.05,35040,2.6672551366578845,1
V,395,0.81,1147,0.89,1799,0.89,3821,1.04,37075,23.832504422433534,8.827789420763702e-05
R,173,0.36,580,0.45,1044,0.52,3481,0.95,36715,181.00307315098712,2.4586195418439392e-39
P,362,0.82,1062,0.92,1774,0.97,3355,1.01,33413,14.784104437072065,0.010125978259365821
T,349,0.83,982,0.89,1582,0.91,3164,1.0,31750,11.30367774750589,0.06497712143942602
I,313,0.72,927,0.81,1532,0.84,3377,1.03,33111,39.23982795234473,3.148454276131562e-08
Q,360,0.88,1055,0.98,1699,1.0,3050,0.99,30939,4.631655688703147,1
D,546,1.47,1352,1.38,1976,1.28,2930,1.05,28133,55.3470411422884,8.485832776703097e-12
F,263,0.66,1011,0.96,1719,1.04,3231,1.08,30204,62.14847754796611,2.6755106788798204e-13
N,275,0.85,882,1.04,1385,1.03,2479,1.02,24441,8.234809281793673,0.3451937199043425
C,77,0.41,263,0.53,444,0.57,1544,1.09,14196,77.29983758416247,1.2337761157768343e-16
Y,492,1.73,1408,1.88,2012,1.71,1981,0.92,21534,163.94414746367207,1.306899788535915e-35
H,115,0.5,510,0.85,858,0.9,1905,1.1,17376,72.5066203497641,1.398369488986625e-15
M,125,0.68,372,0.77,597,0.78,1513,1.09,13969,26.77763646605566,1.917415262871904e-05
W,47,0.45,144,0.53,281,0.65,701,0.9,7866,21.122258107205557,0.0003619509838516396
X,9,0.22,32,0.29,59,0.34,328,1.05,3141,25.963416813621453,2.922769781335291e-05
