Amino Acid,Count in Gold,Gold norm.,Count in Gold-Silver,Gold-Silver norm.,Count in Gold-Silver-Bronze,Gold-Silver-Bronze norm.,Count in non-SUMOylated,non-SUMOylated norm.,Count in human proteome,Gold vs non-SUMOylated chi2_statistic,Gold vs non-SUMOylated adj_pval
L,953.0,1.12,2389.0,1.07,3698.0,1.05,6222.0,0.97,64374,18.333780451285946,0.0015572807685159998
K,499.0,0.72,1377.0,0.75,2236.0,0.77,4361.0,0.83,52766,10.597852162923745,0.09510405049896528
E,884.0,1.07,2543.0,1.17,3911.0,1.14,6186.0,0.99,62747,4.43777353525216,1
S,616.0,1.03,1609.0,1.02,2556.0,1.03,4420.0,0.98,45308,1.2639667291339867,1
A,237.0,0.47,790.0,0.6,1612.0,0.78,4584.0,1.22,37825,230.62493774472654,3.658761983563652e-50
G,436.0,0.73,1379.0,0.88,2287.0,0.93,5145.0,1.15,44886,89.10645447929792,3.142677856100472e-19
V,987.0,2.02,2077.0,1.62,2980.0,1.47,3580.0,0.97,36942,458.1572884320858,1.0166656367145336e-99
R,368.0,0.67,1137.0,0.79,1773.0,0.78,3516.0,0.85,41577,19.91104390912568,0.0006814945514019985
P,466.0,1.1,1164.0,1.05,1895.0,1.08,3044.0,0.96,31926,8.35612063856155,0.32288787679081615
T,492.0,1.27,1211.0,1.19,1873.0,1.16,2889.0,0.99,29387,26.96980751412175,1.735930990143647e-05
I,846.0,2.23,1729.0,1.73,2461.0,1.57,2558.0,0.9,28693,592.2902756911333,6.683787919508555e-129
Q,364.0,0.82,1097.0,0.94,1798.0,0.98,3541.0,1.06,33462,22.859321202439634,0.00014641365270578492
D,213.0,0.59,642.0,0.67,1046.0,0.69,2795.0,1.02,27536,64.99154165579559,6.318501168223425e-14
F,305.0,1.15,818.0,1.18,1255.0,1.15,2005.0,1.01,20004,4.8549956947266955,1
N,271.0,0.84,787.0,0.92,1239.0,0.92,2694.0,1.1,24525,19.755356615797893,0.0007393231869521977
C,93.0,0.51,312.0,0.65,525.0,0.69,1257.0,0.91,13842,30.652859277795727,2.592000945639027e-06
Y,208.0,0.9,528.0,0.87,854.0,0.89,2305.0,1.33,17437,29.616545938930887,4.42289902102348e-06
H,108.0,0.55,356.0,0.69,607.0,0.75,1708.0,1.16,14839,59.56396601213153,9.944175041785462e-13
M,254.0,1.19,600.0,1.07,939.0,1.06,1502.0,0.94,16093,12.724264092067083,0.030319116006575615
W,39.0,0.32,150.0,0.46,250.0,0.49,698.0,0.75,9330,29.178189409172585,5.545528366588418e-06
X,,,,,,,,,3,,1
