"","DxK","DxKP","ExK","ExKP","IK","IKxD","IKxE","IKxEP","KL","KP","KxD","KxE","KxEP","KxG","KxN","KxP","KxQ","KxS","LKxD","LKxE","LKxEP","MKxE","PKxE","TKxE","VK","VKxE"
"blastocyst development",2.69428886116023,0.67527478120604,1.63805749528003e-08,0.00864772484997259,0.0281087781335799,0.388934924950111,0.272422685685839,NA,0.118964023790502,1.33752219610962e-13,0.375440872366625,0.0375833090776237,0.0300658895722145,0.0239424186915973,0.634251561866109,0.0512593143743645,0.0144024450623874,0.0542730202326103,0.182980886435108,2.67982029931984e-05,NA,0.102160521649848,0.0159603370356146,0.1960093611439,1.84689372710703e-06,1.26334555445866e-06
"cellular response to cytokine stimulus",2.53385857528371e-06,0.111940224876726,0.212696000292618,4.34257884679025e-05,0.493130390477027,0.108787189750855,0.152998006949209,0.149016190109606,0.628218737701759,1.33752219610962e-13,3.07568796223611e-06,0.667294228050407,0.615620751354418,1.25383041926606,0.266717052138279,0.207296781495762,0.190371851394171,0.181246652881284,0.0873278750607653,1.04061290943021,1.57995400286715,0.0511287708562047,0.0960080566140333,0.158172393080708,0.284961697490138,1.26334555445866e-06
"cellular response to endogenous stimulus",0.277242854744266,0.182297620085352,0.300266176511359,0.00864772484997259,2.47513794460869,0.300147230064798,1.0933831383757,0.516387353153893,2.98876604461992e-08,1.33752219610962e-13,0.128743031711232,0.261660794671156,0.938510961542516,0.0370930225736444,0.255104205493277,0.259847270755357,0.294008037341302,0.422382089257642,0.183886984033935,0.268858156600715,0.887405943384814,0.128041816449835,0.0966585193909917,0.119598218959701,0.771541128204671,1.26334555445866e-06
"cellular response to gamma radiation",0.815113713064003,0.297283287378979,0.952036674449048,0.00864772484997259,0.500110644498513,NA,NA,NA,0.412270793863164,0.302947245110589,0.536566930975588,0.665184562418948,0.041748960388426,NA,0.00408062747321727,1.38100464726585,0.0250479550846695,0.457078084676368,0.3061465307582,0.269123270012609,NA,NA,0.0927355614450281,0.483224834212502,0.0393032052639941,1.26334555445866e-06
"cellular response to hypoxia",2.53385857528371e-06,0.0581837313809268,0.185121794465513,0.00864772484997259,7.29621664521275e-07,NA,0.000947227343924787,0.117641144057257,2.98876604461992e-08,1.33752219610962e-13,3.07568796223611e-06,0.008133598065419,0.406541755063698,0.0134664269884072,7.81195514361514e-05,0.0363698897258057,0.0269705087995689,1.65356774261522e-06,NA,0.185998878079009,1.63265372021432,0.14558863161486,0.0354846001145771,NA,1.84689372710703e-06,1.26334555445866e-06
"cellular response to ionizing radiation",2.44546603429618,0.165016497430126,0.507208503051463,0.00864772484997259,0.921924608062315,0.426644302560289,0.0516944370929844,NA,0.714813827386663,1.33752219610962e-13,0.963007275083554,1.94108855182708,0.0858067540000683,0.0581892687603376,0.116360427315371,0.782520325059241,0.0144024450623874,1.26387974231785,0.301707142413344,0.357615624481536,0.73665258576204,0.116439534183366,0.442813255055141,0.681900402117981,0.175399993815912,1.26334555445866e-06
"cellular response to radiation",4.99815756298785,1.34867428574537,4.66234643923601,0.00864772484997259,4.09048777772794,0.71633600082506,0.880008396552518,0.140411250938503,1.97246828631003,1.33752219610962e-13,1.38875083521472,5.17564008020999,0.716557427704654,0.963933624646993,0.261510873429219,2.06008919182883,0.0269705087995689,2.67428295433194,0.183886984033935,0.045517752099119,0.519261611570736,0.128041816449835,0.403494166182653,0.693399732256392,1.30405426305097,0.442382402308506
"chromatin organization",9.24264354137248,0.959033547395999,12.64490557089,0.277242692910153,6.30005731282675,0.426644302560289,3.53489964539531,0.516387353153893,10.8941304364291,2.69000579328635,5.55612492116452,25.9565071279459,5.52079248301666,4.27666454910387,8.74287769541456,9.71014788659971,1.55664991126736,5.86557047953159,0.246467911939071,1.23569544908679,0.887405943384814,1.46672122837332,3.73230699729363,1.3065133272589,12.8843787193255,6.70447575219013
"chromatin remodeling",5.62157087098395,0.79311959062082,8.07147951729305,0.329607339832891,4.87771205422822,0.51601973966659,1.98204233222907,0.516387353153893,9.56141628771318,2.62540965920369,5.52596953965172,17.1637146088643,1.31870196720021,4.27666454910387,2.24893582005296,8.2586646632451,0.281338930048549,2.48212904654728,0.408178601730447,0.474274289114949,0.254778153604312,2.0535581165347,0.919621917030497,0.876518933779107,7.85795204911144,2.68588471620868
"chromosome organization",5.96899379080835,1.55607243226617,13.7942556940578,0.943999921098648,2.26863180370662,0.951482210896392,0.209592900844522,0.0665329741494631,9.45250754290077,2.35856111638703,5.50913912028571,8.52440902360379,0.0446798159955156,1.51031489154296,0.987306865736659,2.41046795348834,1.90302688897758,2.86473828940451,0.611553277159616,0.765990691362612,0.126879343850274,0.14558863161486,0.465812223073981,1.59568233007875,2.67595351625828,1.26334555445866e-06
