,DxK,DxKP,ExK,ExKP,IK,IKxD,IKxE,IKxEP,KL,KP,KxD,KxE,KxEP,KxG,KxN,KxP,KxQ,KxS,LKxD,LKxE,LKxEP,MKxE,PKxE,TKxE,VK,VKxE
blastocyst development,21,6,10,2,9,2,8,NA,11,13,9,22,3,5,8,5,3,7,2,2,NA,1,1,3,8,4
cellular response to cytokine stimulus,31,9,41,6,37,2,19,7,37,32,12,78,20,27,16,17,17,23,3,27,7,2,8,6,40,18
cellular response to endogenous stimulus,63,17,74,18,80,6,45,14,51,64,38,132,35,30,26,30,31,43,9,32,7,7,15,9,76,39
cellular response to gamma radiation,6,2,7,2,5,NA,NA,NA,5,7,4,9,1,NA,1,5,1,4,2,3,NA,NA,1,2,4,3
cellular response to hypoxia,4,1,10,3,3,NA,1,1,4,6,1,15,6,2,1,3,3,2,NA,5,4,2,1,NA,5,2
cellular response to ionizing radiation,16,3,12,3,12,2,4,NA,11,11,9,24,4,4,4,7,2,10,3,6,2,1,4,4,10,6
cellular response to radiation,32,10,34,4,30,4,14,2,23,22,16,51,11,13,8,15,6,20,3,7,2,2,6,6,24,14
chromatin organization,105,23,126,23,97,8,56,15,103,109,65,227,51,58,53,63,40,68,11,43,7,16,31,19,121,71
chromatin remodeling,65,15,79,16,62,6,35,10,70,72,46,142,26,41,28,44,20,38,9,23,2,14,15,12,75,41
chromosome organization,88,25,120,26,72,11,32,5,91,97,60,166,22,42,30,40,39,53,14,36,2,8,17,19,81,37
circadian regulation of gene expression,11,6,11,1,15,1,9,4,13,10,5,23,6,3,5,3,5,7,NA,7,NA,1,5,3,14,7
circadian rhythm,21,7,30,5,28,2,19,6,23,21,13,45,12,13,10,14,15,17,4,13,1,3,6,5,27,10
DNA repair,102,19,125,25,88,9,40,5,93,88,64,193,30,48,29,46,48,68,12,39,4,9,21,29,92,41
DNA-templated transcription elongation,51,11,42,8,39,6,25,4,33,44,21,87,20,23,9,21,12,31,3,22,2,2,20,7,40,22
epigenetic regulation of gene expression,28,7,36,8,22,NA,12,3,23,28,15,61,11,12,16,15,9,25,2,14,3,4,7,3,34,19
facultative heterochromatin formation,10,4,9,3,4,NA,2,NA,7,10,6,16,3,5,3,9,4,6,1,2,1,2,1,2,12,8
hematopoietic or lymphoid organ development,52,16,66,9,64,9,38,9,47,64,30,128,34,26,20,28,21,40,4,31,10,5,5,10,69,40
hemopoiesis,47,13,65,9,63,9,37,9,46,61,30,124,34,26,19,28,20,37,4,31,10,4,5,10,63,38
histone modification,78,17,85,21,80,7,50,13,75,78,45,168,36,40,33,49,31,44,6,32,5,10,18,15,93,57
immune system development,60,18,74,10,71,9,44,10,53,68,31,140,36,29,21,29,27,44,4,34,11,6,7,13,73,42
macromolecule methylation,34,7,52,11,36,2,25,5,40,40,26,95,21,17,19,26,16,23,1,20,6,10,15,5,50,28
mesenchyme morphogenesis,2,1,2,1,7,NA,2,NA,2,2,1,5,NA,4,NA,8,NA,5,NA,NA,NA,NA,NA,NA,5,2
mitotic G2/M transition checkpoint,13,3,8,2,8,2,3,NA,6,12,9,20,4,5,3,3,5,7,2,5,NA,NA,NA,6,10,3
